pitcher,player_name,Pitches,Whiff,xWhiff,In_Whiff,IZ.Pitches,IZ.Swing,IZ.xSwing,IZ,OOZ.Pitches,OOZ.Swing,OOZ.xSwing,OOZ,xwOBA,wOBA,In_wOBA,Command,S_ERA
600968,Randy Rosario,153,0.05229,0.09597,-0.019087575,74,0.55405,0.63274,-0.038365881,67,0.13433,0.23462,-0.027206717,0.3368,0.5649,0.01291655,-1.722944847,5.2647
601713,Nick Pivetta,523,0.09369,0.10848,-0.014878102,233,0.64378,0.6668,-0.02943395,168,0.25595,0.26096,-0.003235078,0.3363,0.3487,0.002094557,-1.278670877,4.5535
605130,Scott Barlow,681,0.163,0.14655,0.015871456,308,0.63312,0.66407,-0.019461278,135,0.19259,0.28569,-0.037658622,0.3204,0.3303,0.00758361,5.25715916,3.7113
605135,Chris Bassitt,1313,0.08911,0.09073,0.002250234,659,0.65554,0.65979,0.005220623,382,0.28796,0.33664,-0.000646703,0.3441,0.3098,-0.007574442,-1.412703118,3.8203
605138,Wes Benjamin,499,0.11423,0.11508,0.008718292,239,0.69874,0.64064,0.05544556,177,0.31638,0.32822,0.032963969,0.3369,0.3579,0.005200278,2.375479969,4.3243
605143,Ray Black,123,0.07317,0.08126,-0.002693394,57,0.54386,0.64606,-0.031732901,30,0.16667,0.19935,0.00796178,0.3191,0.2875,-0.006073852,-2.031645769,3.8529
605151,Archie Bradley,342,0.0848,0.0995,-0.011510417,174,0.63793,0.67967,-0.028101603,118,0.26271,0.26064,0.028021571,0.344,0.3376,0.000718021,-3.781531268,4.5772
605155,Colten Brewer,663,0.09955,0.11791,-0.016018177,314,0.67834,0.63468,0.019357855,185,0.2973,0.31136,-0.003122956,0.3344,0.4267,0.015711538,2.753064069,5.2864
605164,Dylan Bundy,1272,0.12107,0.12357,-0.001062588,617,0.60292,0.69528,-0.066629073,434,0.24424,0.31855,-0.010971491,0.3348,0.2833,-0.008323449,0.71892627,3.2913
605177,Andrew Chafin,230,0.0913,0.10395,-0.008363513,105,0.59048,0.65736,-0.026192745,93,0.29032,0.29787,0.011161404,0.3396,0.3526,0.004644856,-0.642432211,4.4974
605182,Mike Clevinger,868,0.12442,0.13266,-0.005271298,430,0.68605,0.66773,0.018946256,199,0.1608,0.29458,-0.07147126,0.3337,0.3233,-0.00217725,2.179910677,4.1529
605195,Kyle Crick,139,0.09353,0.08681,0.001014776,61,0.62295,0.62128,-0.000453137,47,0.19149,0.23241,-0.004358346,0.3236,0.3284,-0.000922801,-0.128329073,4.0881
605200,Zach Davies,1591,0.08925,0.11585,-0.016768231,657,0.58447,0.6421,-0.042432292,412,0.26942,0.34205,-0.024451418,0.3209,0.3184,-0.00178544,5.158103735,3.8089
605218,Carl Edwards Jr.,56,0.14286,0.11462,0.012073565,29,0.55172,0.62952,-0.010158414,14,0.21429,0.25099,0.002341521,0.3379,0.2088,-0.002750477,0.374153063,3.629
605240,Jace Fry,506,0.13241,0.06941,0.052437384,180,0.62222,0.61466,0.005291334,229,0.28821,0.18468,0.105493211,0.3227,0.3458,0.002757197,-2.646324169,3.2303
605242,Michael Fulmer,681,0.07195,0.09338,-0.020473747,295,0.64068,0.62994,0.012338289,190,0.25263,0.27884,0.010440504,0.3257,0.4304,0.014685818,1.137300887,5.4098
605276,David Hess,117,0.03419,0.11326,-0.039122007,56,0.80357,0.67386,0.040202512,32,0.46875,0.35831,0.035589598,0.3425,0.4141,0.000303778,0.815145718,5.1947
605280,Clay Holmes,22,0.18182,0.14019,0.007821148,6,0.66667,0.67338,-0.000322043,5,0.2,0.16817,0.007678779,0.2743,0.3,-0.000231566,7.601304671,3.333
605288,Adrian Houser,1251,0.09273,0.09425,-0.009289941,577,0.67764,0.63366,0.027771804,445,0.30787,0.27447,0.035928884,0.3322,0.3821,0.009887873,-0.043604521,5.0398
