pitcher,Pitches,Whiff,xWhiff,In_Whiff,IZ.Pitches,IZ.Swing,IZ.xSwing,IZ,OOZ.Pitches,OOZ.Swing,OOZ.xSwing,OOZ,xwOBA,wOBA,In_wOBA,Command,Season,S_ERA,player_name
425492,999,0.12112,0.09433,0.021961522,473,0.67865,0.65368,0.010913002,370,0.3384,0.28674,0.032383611,0.3326,0.3063,-0.006731028,-0.099631342,2016,3.218,Ryan Madson
425492,854,0.12881,0.10891,0.016374648,410,0.63902,0.67191,-0.034539819,313,0.35811,0.32014,0.038910012,0.3324,0.2234,-0.012459177,1.289862682,2017,2.703,Ryan Madson
425492,833,0.13926,0.09989,0.029947523,450,0.72,0.66761,0.020912329,247,0.28198,0.29081,0.001735042,0.3428,0.3382,0.003015631,-1.569057468,2018,3.687,Ryan Madson
425532,1958,0.08682,0.09083,-0.003139304,887,0.66742,0.63464,0.025570339,644,0.33053,0.27399,0.040606618,0.3337,0.3824,0.015525692,0.622163214,2015,4.855,Jerome Williams
425532,291,0.09622,0.07791,0.00778418,125,0.76,0.63299,0.048841045,94,0.27108,0.22877,0.015350138,0.3263,0.4125,0.004785889,-0.663677804,2016,4.494,Jerome Williams
425626,744,0.11828,0.11795,0.001841277,336,0.61012,0.61818,-0.007985994,319,0.32353,0.2944,0.010543625,0.3294,0.3906,0.008116168,3.182419451,2015,3.963,Chris Capuano
425626,438,0.10502,0.11054,-0.005567512,206,0.6699,0.67544,-0.00700156,202,0.25,0.29773,-0.027639025,0.3343,0.3805,0.006547173,-0.374686448,2016,4.619,Chris Capuano
425657,545,0.0844,0.08857,-0.006146588,238,0.68067,0.589,0.043456043,188,0.25407,0.24211,0.00412662,0.3312,0.2128,-0.014082043,0.5368639,2015,3.425,Javier Lopez
425657,441,0.06349,0.09022,-0.01698885,192,0.64062,0.59629,0.016107151,170,0.249,0.2598,-0.003101566,0.3359,0.3215,-0.007016247,0.193252385,2016,4.199,Javier Lopez
425786,338,0.07396,0.10977,-0.023154702,171,0.66667,0.63917,0.00674233,81,0.28743,0.27103,-0.004090428,0.3328,0.3741,0.001278447,-0.499018006,2015,4.5,Scott Atchison
425794,383,0.08094,0.09275,-0.011174423,197,0.70051,0.64173,0.017415239,106,0.29032,0.26594,-0.002670167,0.3447,0.2725,-0.003742274,-1.984554822,2015,4.168,Adam Wainwright
425794,3118,0.08178,0.09587,-0.013794834,1481,0.61242,0.63369,-0.022850508,911,0.26878,0.27052,-0.001848867,0.3367,0.3444,0.008184764,-0.525052645,2016,4.833,Adam Wainwright
425794,2090,0.07321,0.09844,-0.025182397,992,0.63004,0.65249,-0.023085614,622,0.26138,0.27851,-0.004659635,0.3397,0.3459,8.83E-05,-0.723543243,2017,4.712,Adam Wainwright
425794,732,0.0929,0.10652,-0.018685594,333,0.60961,0.65858,-0.040525103,229,0.23308,0.27618,-0.02937857,0.3316,0.333,3.16E-04,0.32609835,2018,4.238,Adam Wainwright
425794,2739,0.07777,0.10103,-0.026416507,1336,0.59955,0.63681,-0.049643284,755,0.24804,0.28782,-0.025339871,0.344,0.3381,-0.004198662,-0.507791382,2019,4.491,Adam Wainwright
425835,132,0.09091,0.11039,-0.010116021,55,0.74545,0.64767,0.0229519,52,0.35065,0.30769,0.011090735,0.3265,0.5444,0.007232599,1.730070139,2015,4.457,Chin-hui Tsao
425840,1072,0.09795,0.09619,0.004022859,528,0.68371,0.60707,0.04767987,497,0.25551,0.24546,-0.003346559,0.3423,0.3263,8.63E-04,-1.221149696,2015,4.151,Neal Cotts
425844,3236,0.11928,0.11496,0.002544591,1410,0.68227,0.64763,0.022862149,1161,0.3149,0.29806,0.001578634,0.3237,0.2311,-0.02809993,2.861605664,2015,2.12,Zack Greinke
425844,2503,0.10427,0.127,-0.021229942,1121,0.65745,0.63097,0.016020645,834,0.34805,0.33098,0.011449789,0.3258,0.3231,0.006441721,5.449486704,2016,4.586,Zack Greinke
425844,3103,0.1244,0.13068,-0.008683944,1395,0.62509,0.63558,-0.018098641,845,0.32377,0.32072,0.014836038,0.3244,0.2973,0.002715223,6.042176949,2017,3.932,Zack Greinke
425844,3208,0.10817,0.12532,-0.017545859,1424,0.6243,0.63862,-0.021504662,981,0.3139,0.3239,0.001758108,0.3244,0.2893,-0.004216514,5.60968239,2018,3.604,Zack Greinke
425844,3094,0.10472,0.12517,-0.024750599,1385,0.63249,0.65356,-0.025415225,1028,0.33002,0.33877,0.004980729,0.3275,0.2718,-0.019469837,4.691242962,2019,3.248,Zack Greinke
425856,218,0.07339,0.09155,-0.00823724,106,0.68868,0.64626,0.0108456,68,0.27679,0.25984,0.002074627,0.335,0.2564,-0.004692085,-0.662011931,2015,3.894,Gavin Floyd
425856,475,0.15158,0.09668,0.043595375,204,0.65686,0.62179,0.018489116,156,0.33579,0.24457,0.052543362,0.3224,0.278,-0.005838094,1.652749338,2016,2.67,Gavin Floyd
429400,393,0.1145,0.09686,0.017815074,179,0.59218,0.63187,-0.018555224,196,0.27103,0.23874,0.015559123,0.331,0.3913,0.002225415,-0.737261602,2015,3.493,Adam Loewen
429400,126,0.0873,0.09099,0.002141786,56,0.625,0.64077,0.00282815,65,0.14286,0.24627,-0.023122646,0.323,0.3844,-9.12E-04,-0.552364503,2016,4.083,Adam Loewen
429717,2897,0.06179,0.08492,-0.023141399,1394,0.62769,0.62763,-0.010619164,722,0.27678,0.25158,0.011838339,0.3377,0.3197,-0.002003698,-1.040719215,2015,4.319,Dan Haren
429719,876,0.10959,0.10303,0.006454226,383,0.70757,0.63598,0.045861644,300,0.29209,0.26061,0.012678232,0.3284,0.2874,-0.00920174,0.835598036,2015,3.361,Edwin Jackson
429719,1401,0.09422,0.10508,-0.008686685,688,0.64971,0.6204,0.02416026,455,0.24684,0.27502,-0.019552385,0.3398,0.3686,0.00181282,-0.083795288,2016,4.556,Edwin Jackson
429719,1302,0.09985,0.106,-0.006472404,657,0.67884,0.63737,0.021823386,412,0.23721,0.29022,-0.030814424,0.3403,0.3772,0.007552892,0.062168857,2017,4.876,Edwin Jackson
429719,1480,0.08716,0.10156,-0.013313369,662,0.70544,0.64474,0.038893727,484,0.27139,0.2685,0.013445593,0.3336,0.3094,-0.009926926,0.202878098,2018,3.956,Edwin Jackson
429719,1315,0.09962,0.10189,-0.00583918,610,0.71148,0.66479,0.029174602,440,0.24113,0.25964,-0.003489586,0.3359,0.4643,0.025573845,-1.908026431,2019,6.195,Edwin Jackson
429722,1663,0.09681,0.10941,-0.007070594,782,0.66113,0.63653,0.017169727,458,0.28263,0.29589,-0.014456758,0.3312,0.3182,-0.002664391,1.405193385,2015,3.886,Ervin Santana
429722,2919,0.09832,0.11995,-0.02096977,1302,0.67358,0.6336,0.028983597,812,0.30303,0.30699,-0.019721203,0.3286,0.3077,-0.008876725,3.53051051,2016,3.996,Ervin Santana
429722,3063,0.10284,0.11934,-0.016977431,1446,0.68465,0.63452,0.029229178,823,0.30921,0.29645,0.013355716,0.329,0.2944,-0.019201467,3.396429068,2017,3.331,Ervin Santana
429722,424,0.04245,0.11494,-0.052040795,198,0.66162,0.63319,0.003773483,145,0.28319,0.30766,-0.015906824,0.3345,0.4268,0.005788918,1.810190389,2018,5.405,Ervin Santana
429722,250,0.056,0.1156,-0.039167699,122,0.71311,0.64765,0.017070206,64,0.21875,0.27083,-0.015085551,0.3388,0.4852,0.00549788,0.080428751,2019,5.601,Ervin Santana
429780,452,0.10841,0.10251,0.00240837,216,0.625,0.67174,-0.025264593,167,0.28814,0.2814,-0.00656293,0.3365,0.3083,0.001474482,-1.898468002,2015,3.899,Chris Narveson
429781,421,0.06176,0.10031,-0.025694469,176,0.69318,0.60619,0.043593269,187,0.29388,0.26395,0.015124446,0.3269,0.4184,0.006636836,2.199950397,2015,4.866,Kevin Correia
429783,699,0.11874,0.09961,0.017594648,351,0.75214,0.67342,0.042181857,259,0.29598,0.30119,-0.008219323,0.3385,0.326,0.003984517,-1.202704533,2015,4.006,Rafael Betancourt
430580,3057,0.07982,0.09499,-0.009607809,1500,0.65333,0.65023,0.002221153,897,0.28195,0.25508,0.018965594,0.3376,0.3477,-6.11E-04,-1.716557169,2015,4.132,Alfredo Simon
430580,1114,0.07361,0.08995,-0.015255653,518,0.66988,0.65462,0.006273967,315,0.25336,0.24128,0.012750407,0.3313,0.4423,0.020190067,-1.581712992,2016,5.686,Alfredo Simon
