"","Season","Name","Team","Age","PA","BB%","K%","BB/K","ISO","BABIP","SB","CS","Spd","wSB","GB/FB","GB%","LD%","FB%","IFFB%","SwStr%","Oppo%","Cent%","Pull%","Level","wRC.","PlayerId","SB_PA","Key","PlayerList"
"37",2021,"Beau Taylor","CIN",31,181,0.12154696,0.2320442,0.52380952,0.11184211,0.28440367,0,0,1.16880051785714,-0.209236577153205,1.86666667,0.5,0.23214286,0.26785714,0.13333333,0.10273973,0.37168142,0.22123894,0.40707965,"AAA",83.0633380611828,"12384",0,"12384CINAAA","Beau Taylor CIN-AAA"
"38",2021,"Taylor Motter","COL",31,265,0.18490566,0.18490566,1,0.4245283,0.33333333,0,0,2.47098214285714,-0.141894176602363,0.67948718,0.32515337,0.19631902,0.47852761,0.15384615,0.08249313,0.20606061,0.27272727,0.52121212,"AAA",184.470109047367,"12399",0,"12399COLAAA","Taylor Motter COL-AAA"
"39",2021,"T.J. Rivera","PIT",32,212,0.06132075,0.19811321,0.30952381,0.13989638,0.2885906,0,1,1.81073455249438,-0.646016734652221,1.05084746,0.40789474,0.20394737,0.38815789,0.23728814,0.11524164,0.30967742,0.19354839,0.49677419,"AAA",79.0490736711162,"12495",0,"12495PITAAA","T.J. Rivera PIT-AAA"
"40",2021,"Jett Bandy","BOS",31,106,0.09433962,0.28301887,0.33333333,0.12643679,0.28571429,0,0,2.40247251785714,-0.117695574648678,1.04761905,0.37931034,0.25862069,0.36206897,0.0952381,0.10590631,0.28813559,0.22033898,0.49152542,"AAA",78.6118953399248,"12508",0,"12508BOSAAA","Jett Bandy BOS-AAA"
"41",2021,"John Hicks","TEX",31,161,0.08074534,0.27950311,0.28888889,0.21232877,0.35106383,4,0,4.55469294808434,0.730872079730033,0.54,0.26732673,0.23762376,0.4950495,0.26,0.20578778,0.31683168,0.22772277,0.45544554,"AAA",99.8825764492482,"12547",0.0248447204968944,"12547TEXAAA","John Hicks TEX-AAA"
"42",2021,"Dillon Thomas","SEA",28,269,0.09665428,0.30111524,0.32098765,0.17316017,0.37588652,7,1,5.29169914255945,0.732491046190261,2.27272727,0.5033557,0.27516779,0.22147651,0.06060606,0.13893967,0.32,0.21333333,0.46666667,"AAA",104.01476264935,"12719",0.0260223048327138,"12719SEAAAA","Dillon Thomas SEA-AAA"
"43",2021,"Breyvic Valera","TOR",29,180,0.13333333,0.10555556,1.26315789,0.14666667,0.33333333,7,4,5.36283958678662,-0.652257284149527,1,0.37313433,0.25373134,0.37313433,0.18,0.04078947,0.3037037,0.21481481,0.48148148,"AAA",133.539435644176,"12758",0.0388888888888889,"12758TORAAA","Breyvic Valera TOR-AAA"
"44",2021,"Andy Burns","LAD",30,165,0.16363636,0.26060606,0.62790698,0.2,0.33707865,10,1,5.95996137156851,1.39070405066013,0.82051282,0.35164835,0.21978022,0.42857143,0.30769231,0.10385757,0.24731183,0.24731183,0.50537634,"AAA",109.226397725425,"12779",0.0606060606060606,"12779LADAAA","Andy Burns LAD-AAA"
"45",2021,"Taylor Davis","PIT",31,67,0.11940299,0.05970149,2,0.01724138,0.27777778,0,0,1.96350933035714,-0.095900097861886,1.66666667,0.47169811,0.24528302,0.28301887,0.2,0.06882591,0.35185185,0.18518519,0.46296296,"AAA",77.5121952131938,"12782",0,"12782PITAAA","Taylor Davis PIT-AAA"
"46",2021,"Dalton Pompey","LAA",28,109,0.10091743,0.18348624,0.55,0.19587629,0.26388889,1,0,6.33790867571052,0.183221366431098,0.88235294,0.38961039,0.16883117,0.44155844,0.26470588,0.12,0.35064935,0.27272727,0.37662338,"AA",110.765006844899,"12797",0.00917431192660551,"12797LAAAA","Dalton Pompey LAA-AA"
