batter,Season,Pitches,Whiff,xWhiff,In_Whiff,OOZ.Swing,OOZ.xSwing,OOZ,IZ.Swing,IZ.xSwing,IZ,wOBA,xwOBA,In_wOBA,xwOBA_Swing,xwOBA_Take,SAE,Name
461314,2019,223,0.21973,0.11679,0.0713417855483491,0.37736,0.34053,0.0273694172099993,0.7619,0.68255999999999994,0.079665076566839,0.2102,0.3346,-0.019271568048903,0.3652,0.2984,109.15,Matt Kemp
461416,2015,1540,0.10065,0.09942,-0.00909524906749751,0.29147,0.27094,-0.00743757313866235,0.62797,0.64951,-0.00630206837776232,0.3009,0.3319,-9.44800612112608e-4,0.3634,0.3066,109.49,Will Venable
461815,2015,1466,0.06412,0.09639,-0.0415987418683367,0.28765,0.28285,-0.0199194158657119,0.60776,0.64573,-0.0236411216395526,0.3245,0.3401,-0.00163063451535826,0.3607,0.3225,106.06,David Murphy
461829,2017,245,0.24082,0.09926,0.109938653510695,0.42029,0.29175,0.105377840244939,0.616,0.63834,-0.0192956255280261,0.1093,0.3398,-0.0650778521591907,0.3507,0.3276,103.21,Gio Gonzalez
461858,2015,2386,0.08801,0.10436,-0.027544646983138,0.30015,0.30128,-0.0165049623645293,0.64498,0.65111,0.0067032313963133,0.3352,0.339,0.01540777181727,0.3764,0.3087,111.03,Trevor Plouffe
461858,2016,1283,0.08496,0.09951,-0.0223352857157035,0.30645,0.29551,0.00262979700291212,0.63595,0.6519,3.62023900438465e-4,0.3135,0.3393,-0.0129761442344233,0.3767,0.3087,111.02,Trevor Plouffe
461858,2017,1241,0.10073,0.10713,-0.0204249944328489,0.33531,0.31796,0.0160473712035867,0.64052,0.64186,0.0036507016837385,0.2759,0.3334,-0.0181182828946802,0.3688,0.3046,110.62,Trevor Plouffe
461865,2015,755,0.10066,0.0962,-0.00803795032489254,0.33333,0.29031,0.0157065591814729,0.6901,0.66459,0.0351196041190244,0.2874,0.34,-0.0110165293026448,0.3717,0.308,109.32,Andrew Romine
461865,2016,727,0.13755,0.10105,0.0237996958902368,0.34483,0.27146,0.0577659662858723,0.76111,0.67659,0.094529512198324,0.293,0.3387,-0.0204975284932121,0.3669,0.3035,108.33,Andrew Romine
461865,2017,1322,0.11346,0.10224,-0.00254433803719209,0.29622,0.31328,-0.0125353205592469,0.7349,0.67801,0.0581783851972331,0.2895,0.339,-0.0309390213353456,0.3664,0.3082,108.08,Andrew Romine
461865,2018,501,0.14571,0.10373,0.0237357690714846,0.37245,0.30046,0.0688297935174376,0.69388,0.66409,0.0361418521172188,0.2321,0.3367,-0.0227502058002756,0.3606,0.309,107.1,Andrew Romine
462101,2015,2430,0.05802,0.10197,-0.0553728532553733,0.27978,0.28769,-0.0259924656211001,0.58216,0.6453,-0.0478757537232463,0.308,0.3391,-0.037018141661523,0.3721,0.3147,109.73,Elvis Andrus
462101,2016,2063,0.06495,0.09918,-0.0411510067062297,0.2818,0.27048,-0.0024579098733728,0.59722,0.63251,-0.0177831525543276,0.3635,0.3403,0.00714025627733325,0.3723,0.3159,109.4,Elvis Andrus
462101,2017,2508,0.08573,0.1079,-0.0350028140567772,0.3973,0.32182,0.0758476835583844,0.61844,0.63068,-0.0103620195367948,0.3594,0.3352,0.0241366601833831,0.3655,0.3083,109.04,Elvis Andrus
462101,2018,1626,0.09102,0.10837,-0.0334243283107766,0.38144,0.30579,0.0801363548992542,0.64919,0.64316,0.0107912894497729,0.3208,0.3317,-0.00720394477908,0.3605,0.3044,108.68,Elvis Andrus
462101,2019,2468,0.0859,0.11229,-0.0420376336819763,0.36316,0.32411,0.050356276356091,0.60899,0.64091,-0.0172434809085223,0.3293,0.3332,-0.0152764316844919,0.3607,0.3096,108.25,Elvis Andrus
462564,2015,562,0.11566,0.11106,-0.00671469523423437,0.26506,0.27431,-0.0224622681703128,0.64599,0.65331,0.00178248967182293,0.285,0.3398,-0.0167718008866066,0.3787,0.3113,111.45,Dan Uggla
463610,2015,179,0.12291,0.10369,0.00494465163697041,0.32787,0.29494,0.0153228554866699,0.63855,0.62793,0.0144779380281048,0.1902,0.3342,-0.0164191545404226,0.3554,0.3107,106.34,Gregorio Petit
463610,2016,792,0.12879,0.10335,0.0135967259973395,0.38189,0.31704,0.0482922117088359,0.65995,0.63187,0.0391992933225895,0.2808,0.3346,-0.0140054644798858,0.3604,0.3078,107.71,Gregorio Petit
463610,2018,253,0.12648,0.10749,0.00353514735291167,0.3913,0.32136,0.0575624628046529,0.624,0.65412,-0.0170197895566079,0.2746,0.334,-0.0142528540597011,0.3489,0.3187,104.46,Gregorio Petit
465041,2015,1993,0.07376,0.102,-0.0357874506615879,0.20635,0.29741,-0.109025353111444,0.62025,0.65008,-0.0148968657260073,0.3474,0.3401,0.0182179920930355,0.379,0.3125,111.44,Francisco Cervelli
465041,2016,1580,0.07595,0.09985,-0.0309722675091538,0.17841,0.28892,-0.117606709897138,0.59899,0.64892,-0.0310649356451634,0.3357,0.3376,-0.0256412429075469,0.3852,0.3084,114.1,Francisco Cervelli
465041,2017,1198,0.09432,0.10799,-0.0249319594637454,0.17042,0.31632,-0.136968309204243,0.61093,0.65367,-0.0333059208788931,0.3281,0.3419,-0.0118637335910818,0.3787,0.3163,110.76,Francisco Cervelli
465041,2018,1655,0.08943,0.10919,-0.0325097863305616,0.19321,0.32165,-0.110077822058961,0.61605,0.66119000000000006,-0.0352797901823757,0.3605,0.3388,0.00920831079670603,0.3784,0.313,111.69,Francisco Cervelli
465041,2019,632,0.0981,0.10419,-0.0202656040018433,0.18405,0.31931,-0.11021874269099,0.6358,0.65057,0.00390039573739247,0.2896,0.3406,-0.0278723722583413,0.3794,0.3122,111.39,Francisco Cervelli
465674,2015,516,0.14147,0.10375,0.0216982924716296,0.49701,0.30244,0.147516866862693,0.67803,0.63006,0.0587097456225603,0.2792,0.333,0.00531313143186256,0.3446,0.3158,103.48,Pedro Ciriaco
